epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4286,1.60087,3.79192,1.19967,0.48312,0.17195,0.14971,0.07987,1.67954,2.46586,1.24162,0.000150873,0.000150873,0.000150873
2,36.9885,1.58524,2.37639,1.20209,0.5048,0.20157,0.20844,0.11248,1.64661,1.84821,1.23598,0.000298795,0.000298795,0.000298795
3,51.8356,1.51035,1.97532,1.19172,0.31092,0.26469,0.24602,0.12927,1.76097,1.75018,1.2857,0.000442964,0.000442964,0.000442964
4,66.8358,1.49366,1.87356,1.1944,0.38973,0.36873,0.28366,0.15326,1.61888,1.60597,1.24516,0.000438108,0.000438108,0.000438108
5,81.3897,1.46738,1.76807,1.16931,0.53715,0.27415,0.29689,0.1627,1.58838,1.55051,1.19482,0.000432478,0.000432478,0.000432478
6,96.3302,1.4366,1.68931,1.16963,0.45867,0.36594,0.32449,0.17906,1.5599,1.48983,1.18057,0.000426847,0.000426847,0.000426847
7,111.616,1.43667,1.62862,1.15694,0.45654,0.34183,0.32815,0.17803,1.61703,1.49077,1.21498,0.000421216,0.000421216,0.000421216
8,126.588,1.41738,1.58794,1.15644,0.49352,0.40224,0.37075,0.20883,1.57544,1.40601,1.19273,0.000415586,0.000415586,0.000415586
9,141.033,1.38694,1.51208,1.14398,0.53106,0.32042,0.36881,0.20619,1.60041,1.39939,1.19747,0.000409955,0.000409955,0.000409955
10,155.962,1.37819,1.4487,1.12747,0.48006,0.40006,0.36615,0.20605,1.5296,1.36528,1.18088,0.000404324,0.000404324,0.000404324
11,170.419,1.37812,1.42863,1.13048,0.66592,0.3062,0.36079,0.19825,1.50531,1.3443,1.16755,0.000398694,0.000398694,0.000398694
12,184.837,1.37861,1.39106,1.12501,0.57555,0.39356,0.40973,0.23712,1.46784,1.33151,1.144,0.000393063,0.000393063,0.000393063
13,199.446,1.3641,1.38631,1.1224,0.49326,0.4178,0.36366,0.20573,1.52771,1.33582,1.16264,0.000387433,0.000387433,0.000387433
14,213.869,1.34761,1.32177,1.11537,0.55809,0.38707,0.36184,0.20673,1.46275,1.34596,1.1452,0.000381802,0.000381802,0.000381802
15,228.555,1.32691,1.32192,1.10475,0.50392,0.40383,0.39421,0.22922,1.3934,1.30555,1.12105,0.000376171,0.000376171,0.000376171
16,243.104,1.33525,1.27647,1.1084,0.59998,0.41747,0.42554,0.24756,1.46775,1.2526,1.14287,0.000370541,0.000370541,0.000370541
17,257.6,1.32064,1.26092,1.09429,0.58808,0.39887,0.41545,0.24219,1.42223,1.24974,1.13027,0.00036491,0.00036491,0.00036491
18,271.903,1.31809,1.2343,1.09957,0.5092,0.43147,0.42134,0.25525,1.37162,1.27683,1.10343,0.000359279,0.000359279,0.000359279
19,286.275,1.29185,1.22602,1.09092,0.66465,0.38081,0.42402,0.24819,1.42165,1.24031,1.12545,0.000353649,0.000353649,0.000353649
20,301.04,1.28916,1.20641,1.08582,0.6819,0.35678,0.38189,0.2118,1.48054,1.23777,1.13989,0.000348018,0.000348018,0.000348018
21,315.308,1.28758,1.19818,1.08248,0.56242,0.45461,0.45257,0.26147,1.39397,1.23066,1.11103,0.000342387,0.000342387,0.000342387
22,329.478,1.28344,1.1719,1.08572,0.52716,0.39492,0.42583,0.24775,1.40396,1.27113,1.11016,0.000336757,0.000336757,0.000336757
23,343.712,1.28868,1.17102,1.08705,0.64961,0.39686,0.42146,0.24532,1.44061,1.25064,1.12875,0.000331126,0.000331126,0.000331126
24,358.085,1.27829,1.15233,1.07813,0.51451,0.40927,0.4188,0.24399,1.38515,1.24401,1.10784,0.000325496,0.000325496,0.000325496
25,372.536,1.27189,1.13645,1.07536,0.5337,0.40749,0.43063,0.24956,1.42352,1.20298,1.12108,0.000319865,0.000319865,0.000319865
26,387.161,1.26288,1.11597,1.07269,0.56744,0.39283,0.42755,0.24443,1.418,1.23761,1.12395,0.000314234,0.000314234,0.000314234
27,401.626,1.26984,1.12074,1.07441,0.44972,0.41331,0.42447,0.25459,1.37092,1.24743,1.09881,0.000308604,0.000308604,0.000308604
28,416.092,1.25065,1.09604,1.06641,0.63148,0.39855,0.44147,0.25964,1.40333,1.18453,1.11581,0.000302973,0.000302973,0.000302973
29,430.801,1.22571,1.08765,1.06441,0.63032,0.41636,0.43717,0.25178,1.42042,1.20595,1.12386,0.000297342,0.000297342,0.000297342
30,445.228,1.24536,1.07485,1.06711,0.5812,0.39508,0.43653,0.25296,1.42637,1.21042,1.12702,0.000291712,0.000291712,0.000291712
31,459.929,1.24604,1.07425,1.06851,0.58001,0.40219,0.4391,0.25874,1.39615,1.22354,1.10629,0.000286081,0.000286081,0.000286081
