epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.497,1.16857,1.01404,1.03461,0.55897,0.37558,0.39252,0.22601,1.39391,1.22348,1.11357,0.000132544,0.000132544,0.000132544
2,66.3053,1.15979,1.03902,1.03588,0.49616,0.39211,0.38176,0.22795,1.35676,1.24422,1.10946,0.000262587,0.000262587,0.000262587
3,97.1763,1.20146,1.09069,1.05126,0.57174,0.31261,0.36116,0.22018,1.3581,1.31647,1.11234,0.000389331,0.000389331,0.000389331
4,127.975,1.20853,1.09566,1.0631,0.66745,0.32206,0.37005,0.21046,1.43257,1.2966,1.13412,0.00038515,0.00038515,0.00038515
5,158.673,1.21295,1.10293,1.05894,0.62103,0.39108,0.36847,0.21674,1.39759,1.30427,1.13053,0.0003802,0.0003802,0.0003802
6,189.349,1.20823,1.08216,1.0567,0.5984,0.34699,0.36723,0.21308,1.42922,1.29368,1.14725,0.00037525,0.00037525,0.00037525
7,219.539,1.2017,1.07605,1.05599,0.55107,0.34741,0.37197,0.22033,1.35138,1.34114,1.11591,0.0003703,0.0003703,0.0003703
8,250.032,1.20533,1.08076,1.06367,0.61054,0.33989,0.40103,0.24209,1.4418,1.27272,1.13511,0.00036535,0.00036535,0.00036535
9,280.799,1.19483,1.068,1.05577,0.6056,0.36169,0.39062,0.23779,1.38422,1.31304,1.11666,0.0003604,0.0003604,0.0003604
10,311.459,1.2034,1.05595,1.06079,0.54667,0.40601,0.40895,0.24316,1.43466,1.26779,1.1396,0.00035545,0.00035545,0.00035545
11,342.307,1.19175,1.03609,1.04945,0.44107,0.38367,0.37045,0.21454,1.45575,1.33117,1.1617,0.0003505,0.0003505,0.0003505
12,372.45,1.19148,1.03958,1.05278,0.61849,0.3391,0.37614,0.22368,1.38501,1.28939,1.11921,0.00034555,0.00034555,0.00034555
13,402.712,1.16956,1.01906,1.04555,0.52045,0.44575,0.41566,0.25086,1.38406,1.23705,1.1199,0.0003406,0.0003406,0.0003406
14,433.005,1.17898,1.0136,1.04712,0.57986,0.37522,0.37082,0.21536,1.45028,1.3001,1.16112,0.00033565,0.00033565,0.00033565
15,463.412,1.18064,1.02229,1.04525,0.62503,0.35974,0.40179,0.24582,1.38701,1.27148,1.12666,0.0003307,0.0003307,0.0003307
16,493.644,1.16913,1.00588,1.04281,0.53093,0.40967,0.37978,0.21535,1.50566,1.28598,1.16983,0.00032575,0.00032575,0.00032575
17,523.778,1.18127,1.00543,1.04414,0.61211,0.33434,0.37483,0.21666,1.45717,1.26937,1.15703,0.0003208,0.0003208,0.0003208
18,553.577,1.16109,0.98351,1.04081,0.56597,0.34175,0.36645,0.21064,1.49714,1.27977,1.16713,0.00031585,0.00031585,0.00031585
19,583.593,1.1736,0.99576,1.03891,0.60097,0.34821,0.35965,0.20814,1.46198,1.30863,1.16208,0.0003109,0.0003109,0.0003109
20,613.656,1.16913,0.98403,1.04023,0.63923,0.34886,0.38149,0.22788,1.34018,1.26992,1.11476,0.00030595,0.00030595,0.00030595
21,644.371,1.14291,0.95736,1.03215,0.6435,0.38058,0.4168,0.24116,1.50203,1.28877,1.17118,0.000301,0.000301,0.000301
22,684.975,1.15084,0.96207,1.03245,0.59918,0.37143,0.39442,0.23017,1.40634,1.23684,1.12935,0.00029605,0.00029605,0.00029605
23,727.309,1.15692,0.95803,1.03457,0.64586,0.38287,0.40383,0.24371,1.38248,1.2558,1.1346,0.0002911,0.0002911,0.0002911
