epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,543.938,1.181,0.9774,1.03656,0.50248,0.39262,0.40827,0.23875,1.36401,1.1578,1.10646,0.000224144,0.000224144,0.000224144
43,556.751,1.16783,0.95841,1.03474,0.58363,0.43462,0.44497,0.26248,1.30032,1.14813,1.07517,0.000218514,0.000218514,0.000218514
44,569.453,1.16961,0.95506,1.03723,0.6142,0.40321,0.4479,0.27291,1.32319,1.16749,1.0862,0.000212883,0.000212883,0.000212883
45,582.278,1.16542,0.94913,1.03512,0.60487,0.44093,0.44583,0.26665,1.37746,1.18637,1.10874,0.000207252,0.000207252,0.000207252
46,594.995,1.1561,0.94901,1.02909,0.62582,0.39182,0.42158,0.24809,1.32817,1.15224,1.08377,0.000201622,0.000201622,0.000201622
47,608.019,1.14382,0.92471,1.02772,0.48276,0.4475,0.43555,0.25673,1.37684,1.15783,1.10968,0.000195991,0.000195991,0.000195991
48,620.7,1.14839,0.92989,1.02626,0.66222,0.43568,0.45852,0.275,1.36737,1.12115,1.09579,0.000190361,0.000190361,0.000190361
49,633.221,1.14355,0.91689,1.02693,0.70065,0.39116,0.45977,0.2701,1.40523,1.14623,1.11236,0.00018473,0.00018473,0.00018473
50,645.689,1.13283,0.90822,1.01789,0.59082,0.44303,0.45843,0.27284,1.35616,1.13495,1.09223,0.000179099,0.000179099,0.000179099
51,658.196,1.14692,0.91471,1.02204,0.52555,0.41554,0.43855,0.25325,1.3794,1.12925,1.09854,0.000173469,0.000173469,0.000173469
52,670.662,1.13104,0.89309,1.01798,0.60186,0.45163,0.45835,0.27173,1.37504,1.1674,1.09675,0.000167838,0.000167838,0.000167838
53,683.341,1.12986,0.89974,1.01749,0.68172,0.40702,0.44723,0.2754,1.34224,1.12526,1.09878,0.000162207,0.000162207,0.000162207
54,695.893,1.12658,0.89107,1.01964,0.67425,0.43123,0.46641,0.27752,1.34423,1.13944,1.09215,0.000156577,0.000156577,0.000156577
55,708.686,1.11773,0.89705,1.01546,0.67341,0.42877,0.47191,0.28093,1.34801,1.14558,1.09365,0.000150946,0.000150946,0.000150946
56,721.459,1.1206,0.88024,1.01183,0.65735,0.42816,0.46429,0.27297,1.392,1.17903,1.10823,0.000145316,0.000145316,0.000145316
57,734.204,1.10944,0.87407,1.01604,0.60055,0.43284,0.47891,0.27956,1.34217,1.14203,1.09475,0.000139685,0.000139685,0.000139685
58,746.685,1.10367,0.85996,1.01233,0.56331,0.41832,0.51702,0.27745,1.35439,1.19596,1.09579,0.000134054,0.000134054,0.000134054
