epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,890.567,1.51642,3.3995,1.17249,0.52647,0.14731,0.12323,0.07162,1.46996,2.41629,1.15463,0.000132544,0.000132544,0.000132544
2,1768.71,1.48109,2.22773,1.16605,0.52076,0.18268,0.17634,0.10519,1.39481,1.98835,1.13331,0.000260613,0.000260613,0.000260613
3,2647.57,1.42672,2.0168,1.16321,0.52998,0.22028,0.19013,0.11067,1.46301,2.04664,1.18634,0.000383402,0.000383402,0.000383402
4,3524.12,1.4162,1.88087,1.1456,0.57249,0.23766,0.22874,0.13339,1.48527,1.8238,1.16761,0.00037624,0.00037624,0.00037624
5,4392.4,1.39267,1.80676,1.14265,0.5916,0.26558,0.26064,0.15798,1.33538,1.66558,1.11502,0.00036832,0.00036832,0.00036832
6,5269.79,1.38704,1.70801,1.1285,0.54633,0.27249,0.26129,0.15324,1.40691,1.64215,1.14096,0.0003604,0.0003604,0.0003604
